#lon lat ve vn se sn corr name
172.13700 -43.38000 -31.38000 -11.21796 0.41000 0.44000 0 1131
171.74200 -43.46800 -30.04000 -11.34806 0.52000 0.54000 0 1123
171.36100 -43.74700 -30.99000 -11.90840 0.69000 0.81000 0 1115
171.56500 -44.00800 -31.94000 -11.73872 0.61000 0.59000 0 1112
171.29900 -44.20500 -31.65000 -11.87896 0.53000 0.57000 0 1109
171.10300 -44.09100 -31.16000 -11.86882 0.52000 0.90000 0 1108
170.92000 -44.12200 -30.82000 -11.10886 0.58000 0.64000 0 1107
170.27800 -44.13900 -27.85000 -11.27888 2.31000 1.39000 0 1105
171.25800 -44.44300 -31.34000 -11.83925 0.53000 0.66000 0 1104
171.05700 -44.40100 -31.11000 -11.97920 0.62000 0.58000 0 1103
170.60300 -44.30000 -30.50000 -11.77907 0.50000 0.56000 0 1102
170.65400 -44.96800 -32.13000 -12.27989 1.41000 1.31000 0 1097
170.96500 -44.83000 -31.91000 -10.03972 1.32000 1.19000 0 1094
170.69500 -44.74400 -30.84000 -12.52962 1.94000 1.73000 0 1093
170.32600 -44.80400 -30.69000 -13.91969 1.47000 1.51000 0 1065
169.76300 -44.73400 -28.54000 -12.94960 0.97000 1.31000 0 1064
169.37900 -44.48300 -26.38000 -12.32930 2.11000 2.24000 0 1063
169.76900 -44.31800 -27.29000 -13.03909 1.19000 1.26000 0 1062
169.19100 -44.87200 -28.00000 -10.79977 0.78000 0.67000 0 1043
169.19800 -45.38800 -28.01000 -13.24041 0.67000 0.71000 0 1017
167.73900 -45.56200 -24.64000 -11.41063 0.71000 0.75000 0 1004
167.65500 -45.31400 -23.78000 -3.09032 0.85000 1.30000 0 1002
170.70900 -44.52000 -31.16000 -12.05934 0.70000 0.84000 0 eejg
176.67300 -37.86200 0.12000 -7.78167 2.41000 2.00000 0 eay8
175.10900 -41.16800 -25.36000 -9.09536 1.83000 1.50000 0 eaxw
175.32100 -41.60700 -33.61000 -10.23587 0.98000 1.48000 0 eaxv
175.05100 -41.26300 -27.24000 -9.22547 1.38000 1.24000 0 eaxu
175.40300 -41.45100 -33.73000 -10.18568 1.03000 1.25000 0 eaxt
175.35600 -41.52300 -33.59000 -9.70577 1.42000 0.99000 0 eaxr
175.79100 -41.17900 -29.30000 -11.23537 1.05000 1.19000 0 eaxq
175.19700 -41.52300 -33.26000 -9.72577 1.16000 1.13000 0 eaxp
174.70400 -41.23200 -19.47000 -5.35543 1.84000 0.91000 0 eaxn
167.13500 -45.00400 -19.05000 -0.24994 1.64000 2.07000 0 dn4g
175.54100 -40.92100 -23.51000 -9.62507 0.69000 0.60000 0 dk29
176.03100 -40.88600 -25.97000 -9.06503 0.91000 0.84000 0 dk1u
175.89100 -40.88300 -25.89000 -9.14503 0.63000 0.61000 0 dk1r
176.06000 -40.71400 -25.77000 -9.51484 0.62000 0.71000 0 dk1q
175.85700 -40.68200 -23.38000 -9.85480 0.73000 0.74000 0 dk1p
176.02200 -40.30200 -17.55000 -8.96437 0.65000 0.69000 0 dk1n
171.73500 -42.71100 -10.99000 -1.97716 0.88000 0.84000 0 dk0t
171.83200 -42.60700 -8.60000 -0.33704 0.81000 0.84000 0 dk0r
171.49300 -42.99600 -18.61000 -5.23750 0.84000 0.92000 0 dk0q
171.48800 -42.91900 -16.17000 -4.21741 0.86000 1.26000 0 dk0p
171.87700 -42.69300 -12.69000 -2.44714 0.87000 0.87000 0 dk0n
171.70800 -42.66900 -8.76000 -0.68711 0.88000 0.76000 0 dk0m
171.79900 -42.78800 -16.99000 -3.26725 1.06000 1.11000 0 dk0l
174.74900 -41.17800 -18.25000 -5.00537 1.78000 0.89000 0 df6h
168.67000 -45.04300 -27.62000 -8.42998 1.67000 0.95000 0 df5e
168.94500 -44.87200 -27.40000 -9.86977 0.99000 1.01000 0 df5a
168.40900 -44.87300 -26.94000 -9.05977 1.01000 1.27000 0 df59
168.78600 -44.49800 -23.89000 -8.07931 1.09000 1.34000 0 df57
168.46900 -44.64400 -23.17000 -8.79949 1.02000 1.17000 0 df56
168.96600 -44.16700 -19.91000 -6.18891 0.87000 1.01000 0 df53
168.33800 -44.22900 -9.19000 -0.73899 0.99000 0.98000 0 df52
168.68500 -44.27200 -17.81000 -7.07904 1.06000 1.12000 0 df51
167.86800 -44.78500 -25.18000 -6.42967 0.87000 0.95000 0 df50
167.96700 -44.99700 -30.44000 -7.98993 1.30000 1.16000 0 df4y
167.37800 -45.69300 -24.15000 -8.70079 1.36000 1.82000 0 df4x
167.41100 -45.46000 -22.44000 -6.44050 1.40000 1.23000 0 df4w
167.55900 -45.40200 -23.06000 -4.16043 1.24000 1.33000 0 df4v
167.18000 -45.34300 -21.45000 -5.73036 1.67000 1.16000 0 df4u
