#lon lat ve vn vu se sn su corr corr corr name
200.19939 -21.20103 -76.54616 18.02561 -0.30174 0.14510 0.26735 0.39628 0 0 0 ckis
152.32101 -24.90822 0.49306 0.17373 -0.66192 0.14948 0.14524 0.27344 0 0 0 bndy
169.89321 -43.63770 -15.62618 -6.23316 3.39819 0.27977 0.18960 0.39678 0 0 0 vexa
210.39369 -17.57703 -82.91784 27.53489 -0.89709 0.16486 0.24960 0.30650 0 0 0 tah1
115.88525 -31.80196 0.03704 -0.25613 -2.18277 0.13684 0.11206 0.49164 0 0 0 pert
170.06122 -43.75612 -20.48841 -9.12011 2.00725 0.60388 0.37628 0.22900 0 0 0 nett
210.38570 -17.55531 -83.08836 27.64020 -0.95843 0.21231 0.35878 0.30970 0 0 0 faa1
96.83397 -12.18834 0.94466 1.48737 -0.73180 0.23270 0.56341 0.49644 0 0 0 coco
166.41020 -22.26984 0.24113 0.02454 -1.50264 0.30064 0.15892 0.78274 0 0 0 noum
175.85849 -38.97713 -0.06543 -4.33238 -1.80658 0.17974 0.13125 0.76843 0 0 0 tgri
175.99633 -38.81286 2.38083 -6.50154 0.07489 1.77608 0.33814 1.54738 0 0 0 tgho
176.89617 -38.00320 3.64172 -11.67895 -0.39162 0.21823 0.21975 0.77598 0 0 0 rgaw
176.21085 -38.35257 1.96357 -4.38872 -13.23328 0.29046 0.12585 0.76784 0 0 0 rgwv
176.23225 -38.25659 5.62026 -5.35369 -11.81216 0.34016 0.37245 1.06218 0 0 0 rgon
175.13650 -41.34050 -29.67869 -8.97765 -4.49555 0.57144 0.79017 0.50602 0 0 0 bthl
176.37012 -39.64315 -3.73062 -10.81981 -1.63502 0.76167 0.36452 0.76351 0 0 0 kere
175.93930 -38.67343 1.99150 -0.96343 -2.88303 0.17847 0.35065 0.73079 0 0 0 tgwh
176.37800 -38.10470 2.01064 -6.59260 -5.54956 0.45585 0.56512 0.72842 0 0 0 rgcr
184.82078 -21.14471 72.87981 -37.75250 1.00940 0.80903 0.54182 1.00312 0 0 0 tong
153.03530 -27.48489 0.22376 0.37047 -1.49642 0.14621 0.14034 0.49278 0 0 0 sunm
190.07293 -19.07653 -78.51774 8.04575 -0.92921 0.13308 0.46822 0.38646 0 0 0 nium
116.63749 -26.69664 -0.36462 -0.03978 -0.02645 0.59334 0.38757 1.55794 0 0 0 mro1
168.31514 -17.74397 -81.63679 -35.97881 -2.68700 0.65175 0.93490 1.52333 0 0 0 vanu
166.21537 -21.60858 0.54151 0.50059 -1.06433 0.25585 0.26654 0.59373 0 0 0 thio
149.01005 -35.31569 0.26697 -0.06319 -1.34235 0.10866 0.28756 0.27867 0 0 0 str2
188.26158 -13.84921 -86.92298 5.27820 -2.10433 1.12590 0.58136 1.19396 0 0 0 samo
169.92106 -43.70206 -18.05702 -6.80009 4.04527 0.90801 0.68109 0.50220 0 0 0 redd
210.42728 -17.53308 -83.34948 27.53804 -1.66582 0.31949 0.21820 0.36069 0 0 0 pape
178.08260 -37.89398 2.55161 -16.80758 1.92309 0.73530 0.38884 0.49823 0 0 0 paki
167.93883 -29.04334 0.26090 0.00188 -0.90956 0.25837 0.12648 0.49989 0 0 0 norf
169.85252 -43.72079 -17.51058 -7.41978 3.52956 0.42268 0.37374 0.98960 0 0 0 maka
158.93583 -54.49953 -8.14932 -18.80572 -1.50235 0.50512 0.51711 0.47266 0 0 0 mac1
159.06120 -31.51988 0.41437 -0.03977 -0.70300 0.16419 0.12697 0.38956 0 0 0 lord
169.73677 -43.64298 -12.66625 -3.16764 0.24799 0.25897 0.43099 0.54088 0 0 0 leoc
159.07852 -31.54146 -0.07210 0.60478 -0.94234 0.19082 0.23506 0.45407 0 0 0 ldhi
177.44658 -17.60881 -6.66216 -5.63867 -1.22693 0.36457 0.29070 0.69722 0 0 0 laut
188.00047 -13.83221 -86.81633 4.69101 -2.02137 0.43423 0.46526 0.58694 0 0 0 fale
250.65560 -27.12498 56.55020 27.60774 -0.46266 0.31964 0.46454 0.36923 0 0 0 ispa
250.61671 -27.14821 57.90683 27.74802 -0.76762 0.43599 0.69377 0.27396 0 0 0 eisl
175.58970 -39.11514 1.56617 -2.30920 -2.69646 0.14074 0.24087 0.60887 0 0 0 vgwt
176.36592 -38.09366 1.99038 -4.54279 -3.14746 0.13480 0.12453 1.88026 0 0 0 rghd
175.45174 -39.73010 -2.70957 -2.62150 0.01943 0.27172 0.30602 0.58939 0 0 0 whvr
178.12913 -38.64379 -2.41988 -20.27925 -0.66317 0.79113 0.37257 0.66460 0 0 0 mako
175.64131 -39.09440 1.50969 -3.55638 -3.10277 0.23428 0.15655 0.39128 0 0 0 vgkr
174.91700 -41.23510 -23.36828 -7.24169 -3.31510 0.77904 0.73704 0.85502 0 0 0 grac
176.20160 -40.90980 -27.69408 -10.39079 -4.05650 0.27879 0.25564 0.37043 0 0 0 cast
132.89406 -12.65917 -0.40356 0.36629 -2.18334 0.15708 0.39807 1.50377 0 0 0 jab2
105.68850 -10.44996 0.13401 0.63428 -0.09589 0.28810 0.17553 0.26594 0 0 0 xmis
128.29617 -25.03720 0.04249 0.17483 -0.71810 0.25821 0.14824 0.20019 0 0 0 wara
164.46992 -20.83628 0.15201 -0.61121 -0.58848 0.49444 0.24166 0.32538 0 0 0 uaco
166.21689 -22.01152 -0.02970 0.36320 -1.65699 0.21552 0.21801 0.41351 0 0 0 ttta
210.52446 -23.34180 -74.29638 27.39463 -1.38689 0.27644 0.32407 0.27253 0 0 0 tbtg
142.05742 -29.45016 0.08456 0.17497 -0.74594 0.23935 0.28977 0.38075 0 0 0 tbob
147.93085 -42.54644 0.06308 -0.32266 -1.36102 0.18148 0.15020 0.41460 0 0 0 spby
130.89153 -12.42430 -0.50503 0.86677 -0.41688 0.35774 0.47324 0.89615 0 0 0 sa39
141.61347 -38.34439 0.37107 -0.58542 -0.57655 0.49235 0.19283 0.44044 0 0 0 ptld
164.02378 -20.23165 0.59608 1.12411 -1.53797 0.70121 0.41093 0.66907 0 0 0 poum
165.35132 -20.93788 -0.09069 0.67211 -0.83881 0.54404 0.55636 0.48871 0 0 0 pdme
166.44252 -22.26479 -0.29302 -0.01429 -1.79164 0.18479 0.23052 0.61042 0 0 0 nmea
169.98450 -43.72658 -19.62591 -8.73701 3.64398 0.56099 0.37091 0.84952 0 0 0 mcke
165.37548 -21.48034 -0.29740 0.10507 -1.10056 0.29322 0.23047 0.39482 0 0 0 lcap
142.29621 -10.59037 -0.23279 0.49452 0.11528 0.18065 0.29998 0.57815 0 0 0 hnis
115.73858 -31.82552 -0.14651 -0.58103 -2.05841 0.18216 0.12325 0.76066 0 0 0 hil1
225.03518 -23.13036 -77.91716 40.40586 -0.85343 0.23326 0.39123 0.34218 0 0 0 gamb
181.87906 -14.30780 -84.05800 -0.29603 -1.13956 0.41518 1.79530 0.38028 0 0 0 ftna
121.89433 -33.87432 -0.06505 -0.34577 -1.06724 0.18761 0.10857 0.30671 0 0 0 espa
130.95593 -12.44331 -0.62392 0.35711 -0.36928 0.20626 0.32157 0.58835 0 0 0 dwni
153.26654 -27.52615 0.12004 0.00700 -1.17827 0.12366 0.15463 0.49570 0 0 0 clev
122.20909 -18.00397 -0.15870 0.36147 -1.15211 0.36031 0.14939 0.63961 0 0 0 bro1
189.27756 -14.32609 -86.20448 6.48272 -2.55698 0.82030 0.54767 2.34656 0 0 0 aspa
117.81019 -34.95023 -0.13349 -0.18967 -0.76380 0.16195 0.21844 0.50522 0 0 0 alby
130.88173 -12.35592 0.08388 0.84217 -1.24517 0.18159 0.17222 0.63210 0 0 0 02na
130.98205 -12.47822 -0.02990 0.43483 -2.10957 0.15724 0.16346 0.75205 0 0 0 01na
130.84399 -12.46664 0.08862 -0.20946 -0.47424 0.20160 0.24436 0.77310 0 0 0 00na
176.12378 -37.88920 1.75257 -2.12258 0.70827 1.04669 0.77876 2.02389 0 0 0 eaxx
176.08130 -38.15288 2.31832 -3.16267 0.13892 0.37519 0.28786 0.84473 0 0 0 cbwu
175.87752 -37.89432 0.80595 -1.30027 0.27434 0.40769 0.34118 0.92478 0 0 0 b4dp
176.03008 -38.38749 5.93100 -6.18029 -3.70832 1.16397 1.12351 1.72612 0 0 0 ah9j
176.01788 -38.35959 4.01076 -4.78261 -3.13903 1.02205 1.05673 1.76196 0 0 0 a87p
176.07308 -38.04782 1.61369 -2.39102 0.73344 0.27958 0.46659 0.50224 0 0 0 2383
175.86541 -38.21110 0.88664 -2.46068 0.63247 0.53257 0.50614 0.74183 0 0 0 2382
175.99500 -38.69200 2.74000 -1.66257 -3.80361 1.31000 1.44000 1.30824 0 0 0 2406
176.38256 -40.26498 -15.83993 -11.49354 -1.34508 1.39549 0.19994 0.67053 0 0 0 turi
172.96049 -41.03368 -2.52306 -0.43725 -2.14150 0.26394 0.20878 0.25476 0 0 0 tkhl
169.68411 -45.03834 -29.75911 -13.61496 -0.79088 0.31477 0.26406 0.69451 0 0 0 ldrz
172.78775 -42.39825 -17.24865 -5.47382 0.35946 0.33659 0.29471 0.42758 0 0 0 3608
172.82430 -43.07790 -30.89000 -9.94760 -0.28934 0.58000 0.61000 0.47044 0 0 0 1144
151.23187 -33.91776 0.03784 0.07290 -1.32440 0.38083 0.23313 1.71384 0 0 0 unx3
